;Scopy version,f4beeb1
;Exported on,Saturday October 07/10/2023
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
631,428185,-1.69558,-22.3694
632,429173,-1.48275,-21.1508
633,430164,-1.34688,-21.3809
634,431156,-1.3193,-21.8598
635,432151,-1.29367,-23.013
636,433148,-1.24288,-23.6073
637,434148,-1.29061,-23.9788
638,435150,-1.34355,-25.4524
639,436154,-1.54592,-24.5807
640,437160,-1.63628,-24.8379
641,438169,-1.65581,-24.3967
642,439180,-1.50875,-22.9118
643,440194,-1.38414,-22.9127
644,441209,-1.32635,-23.9037
645,442227,-1.24256,-24.0361
646,443248,-1.24237,-24.5495
647,444271,-1.25405,-25.1397
648,445296,-1.28905,-26.5687
649,446323,-1.27683,-26.7553
650,447353,-1.19257,-26.9571
651,448386,-1.34646,-27.4162
652,449420,-1.38787,-27.6702
653,450457,-1.31033,-27.4624
654,451497,-1.46104,-27.6981
655,452539,-1.41243,-28.5004
656,453583,-1.46303,-28.5708
657,454630,-1.47382,-28.0382
658,455679,-1.70021,-29.785
659,456730,-1.52945,-28.9202
660,457784,-1.69329,-29.2652
661,458840,-1.64164,-30.9957
662,459899,-1.69686,-31.2822
663,460960,-1.78829,-31.7388
664,462024,-1.79456,-31.3115
665,463090,-1.86383,-31.793
666,464159,-1.92698,-31.8095
667,465230,-1.8991,-33.062
668,466303,-1.92564,-33.4277
669,467380,-2.20151,-33.0587
670,468458,-2.06162,-32.7302
671,469539,-2.07507,-34.4971
672,470622,-2.32538,-35.0678
673,471708,-2.27585,-35.3687
674,472797,-2.34204,-35.2848
675,473888,-2.44914,-35.9117
676,474981,-2.60786,-36.6387
677,476078,-2.70722,-37.1546
678,477176,-2.69765,-38.9329
679,478277,-3.09081,-39.429
680,479381,-3.23333,-39.8302
681,480487,-3.18943,-38.4955
682,481596,-3.62371,-39.313
683,482707,-3.69829,-40.1371
684,483821,-3.84588,-40.1529
685,484937,-3.96432,-39.868
686,486056,-4.05254,-40.3285
687,487178,-4.17751,-41.3195
688,488302,-4.25122,-42.746
689,489429,-4.52733,-41.7724
690,490558,-4.87333,-42.9142
691,491690,-5.70185,-43.9635
692,492825,-6.02759,-42.1145
693,493962,-6.40132,-37.4089
694,495102,-6.40882,-34.5165
695,496244,-6.49594,-31.4495
696,497390,-6.30588,-29.6057
697,498537,-6.02491,-29.0892
698,499688,-5.78237,-29.711
699,500841,-5.57908,-31.8976
700,501997,-5.70377,-35.1936
701,503155,-5.92705,-37.1197
702,504316,-6.59023,-37.8169
703,505480,-6.73489,-40.6259
704,506646,-7.40383,-41.9353
705,507815,-8.10485,-42.8742
706,508987,-9.21587,-43.4031
707,510162,-10.1099,-42.1245
708,511339,-11.2707,-39.8599
709,512519,-12.5232,-34.8331
710,513701,-13.6691,-28.0711
711,514887,-14.0268,-18.0457
712,516075,-14.9936,-4.20142
713,517266,-15.0942,6.00898
714,518459,-14.3037,20.7541
715,519656,-13.1533,30.9355
716,520855,-11.8479,38.7331
717,522057,-10.5802,41.8054
718,523261,-9.15217,43.2104
719,524469,-8.05937,43.7632
720,525679,-7.06572,43.6213
721,526892,-6.12245,42.523
722,528108,-5.33187,41.8449
723,529327,-4.69079,39.4153
724,530548,-4.12301,37.6544
725,531772,-3.77509,35.1732
726,532999,-3.35643,34.5583
727,534229,-3.01562,32.3114
728,535462,-2.81823,29.1162
729,536698,-2.67223,28.9726
730,537936,-2.37916,27.5011
731,539177,-2.07413,25.6627
732,540422,-1.88953,24.2981
733,541669,-1.71343,22.619
734,542919,-1.45894,20.4347
735,544171,-1.561,18.3662
736,545427,-1.52959,15.8865
737,546686,-1.5596,13.842
738,547947,-1.6808,12.4053
739,549212,-1.91569,11.5052
740,550479,-2.09088,12.0982
741,551749,-2.06731,12.8155
742,553022,-2.00137,13.7028
743,554299,-1.88336,13.9519
744,555578,-1.73422,14.1747
745,556860,-1.62532,14.2654
746,558145,-1.35758,14.4979
747,559433,-1.13489,13.2528
748,560723,-0.982032,12.7451
749,562017,-0.890779,11.317
750,563314,-0.845417,10.7827
751,564614,-0.73123,9.912
752,565917,-0.645356,9.12763
753,567223,-0.606511,7.97771
754,568532,-0.576754,7.36412
755,569844,-0.557642,6.63829
756,571159,-0.513546,5.82042
757,572477,-0.502078,5.24028
758,573798,-0.468075,4.61488
759,575122,-0.452284,3.95723
760,576449,-0.461767,3.25635
761,577779,-0.471998,3.00135
762,579112,-0.438405,2.54992
763,580449,-0.411716,2.06821
764,581788,-0.40036,1.45074
765,583131,-0.386109,1.04378
766,584476,-0.383842,0.488015
767,585825,-0.376639,0.0190512
768,587177,-0.367445,-0.430312
769,588532,-0.386961,-0.824414
770,589890,-0.355959,-1.20549
771,591251,-0.362961,-1.55092
772,592615,-0.358584,-2.02075
773,593983,-0.366015,-2.43934
774,595353,-0.349153,-2.81664
775,596727,-0.372285,-3.24003
776,598104,-0.347497,-3.48246
777,599484,-0.391204,-3.91944
778,600868,-0.373505,-4.35085
779,602254,-0.384323,-4.60421
780,603644,-0.390005,-4.97053
781,605037,-0.392311,-5.21839
